filename,contract_type,split
ArmstrongFlooringInc_20190107_8-K_EX-10.2_11471795_EX-10.2_Intellectual Property Agreement.txt,Intellectual Property Agreement,holdout
"Array BioPharma Inc. - LICENSE, DEVELOPMENT AND COMMERCIALIZATION AGREEMENT.txt",Other,dev
ArtaraTherapeuticsInc_20200110_8-K_EX-10.5_11943350_EX-10.5_License Agreement.txt,License Agreement,holdout
AtnInternationalInc_20191108_10-Q_EX-10.1_11878541_EX-10.1_Maintenance Agreement.txt,Maintenance Agreement,dev
AudibleInc_20001113_10-Q_EX-10.32_2599586_EX-10.32_Co-Branding Agreement_ Marketing Agreement_ Investment Distribution Agreement.txt,Other,dev
AzulSa_20170303_F-1A_EX-10.3_9943903_EX-10.3_Maintenance Agreement1.txt,Maintenance Agreement1,dev
AzulSa_20170303_F-1A_EX-10.3_9943903_EX-10.3_Maintenance Agreement2.txt,Maintenance Agreement2,dev
"BABCOCK_WILCOXENTERPRISES,INC_08_04_2015-EX-10.17-INTELLECTUAL PROPERTY AGREEMENT between THE BABCOCK _ WILCOX COMPANY and BABCOCK _ WILCOX ENTERPRISES, INC..txt",Other,dev
BANGIINC_05_25_2005-EX-10-Premium Managed Hosting Agreement.txt,Other,dev
BANUESTRAFINANCIALCORP_09_08_2006-EX-10.16-AGENCY AGREEMENT.txt,Agency Agreement,dev
"BELLICUMPHARMACEUTICALS,INC_05_07_2019-EX-10.1-Supply Agreement.txt",Supply Agreement,dev
"BELLRINGBRANDS,INC_02_07_2020-EX-10.18-MASTER SUPPLY AGREEMENT.txt",Other,holdout
"BERKELEYLIGHTS,INC_06_26_2020-EX-10.12-COLLABORATION AGREEMENT.txt",Collaboration Agreement,holdout
BEYONDCOMCORP_08_03_2000-EX-10.2-CO-HOSTING AGREEMENT.txt,Other,dev
BICYCLETHERAPEUTICSPLC_03_10_2020-EX-10.11-SERVICE AGREEMENT.txt,Service Agreement,holdout
BIOAMBERINC_04_10_2013-EX-10.34-DEVELOPMENT AGREEMENT (1).txt,Other,dev
BIOAMBERINC_04_10_2013-EX-10.34-DEVELOPMENT AGREEMENT - First Amendment.txt,Other,dev
BIOCEPTINC_08_19_2013-EX-10-COLLABORATION AGREEMENT.txt,Collaboration Agreement,dev
BIOFRONTERAAG_04_29_2019-EX-4.17-SUPPLY AGREEMENT.txt,Supply Agreement,dev
BIOPURECORP_06_30_1999-EX-10.13-AGENCY AGREEMENT.txt,Agency Agreement,dev
BLACKBOXSTOCKSINC_08_05_2014-EX-10.1-DISTRIBUTOR AGREEMENT.txt,Distributor Agreement,holdout
BLACKROCKMUNIHOLDINGSINVESTMENTQUALITYFUND_04_07_2020-EX-99.01-JOINT FILING AGREEMENT.txt,Joint Filing Agreement,dev
BLACKSTONEGSOLONG-SHORTCREDITINCOMEFUND_05_11_2020-EX-99.(K)(1)-SERVICE AGREEMENT.txt,Service Agreement,holdout
BLUEFLYINC_03_27_2002-EX-10.27-e-business Hosting Agreement.txt,Other,dev
"BLUEHILLSBANCORP,INC_05_20_2014-EX-1.1-AGENCY AGREEMENT.txt",Agency Agreement,holdout
"BLUEROCKRESIDENTIALGROWTHREIT,INC_06_01_2016-EX-1.1-AGENCY AGREEMENT.txt",Agency Agreement,dev
BNCMORTGAGEINC_05_17_1999-EX-10.4-LICENSING AND WEB SITE HOSTING AGREEMENT.txt,Other,dev
BNLFINANCIALCORP_03_30_2007-EX-10.8-OUTSOURCING AGREEMENT.txt,Outsourcing Agreement,holdout
BOLIVARMININGCORP_05_23_2003-EX-2.1-VISP WEB SITE BUILDING AND HOSTING AGREEMENT.txt,Other,dev
BONTONSTORESINC_04_20_2018-EX-99.3-AGENCY AGREEMENT.txt,Agency Agreement,holdout
"BORROWMONEYCOM,INC_06_11_2020-EX-10.1-JOINT VENTURE AGREEMENT.txt",Joint Venture Agreement,dev
BUFFALOWILDWINGSINC_06_05_1998-EX-10.3-FRANCHISE AGREEMENT.txt,Franchise Agreement,dev
BellringBrandsInc_20190920_S-1_EX-10.12_11817081_EX-10.12_Manufacturing Agreement1.txt,Other,holdout
BellringBrandsInc_20190920_S-1_EX-10.12_11817081_EX-10.12_Manufacturing Agreement2.txt,Other,holdout
BellringBrandsInc_20190920_S-1_EX-10.12_11817081_EX-10.12_Manufacturing Agreement3.txt,Other,dev
BellringBrandsInc_20190920_S-1_EX-10.12_11817081_EX-10.12_Manufacturing Agreement4.txt,Other,dev
BerkshireHillsBancorpInc_20120809_10-Q_EX-10.16_7708169_EX-10.16_Endorsement Agreement.txt,Endorsement Agreement,dev
BizzingoInc_20120322_8-K_EX-10.17_7504499_EX-10.17_Endorsement Agreement.txt,Endorsement Agreement,holdout
BloomEnergyCorp_20180321_DRSA (on S-1)_EX-10_11240356_EX-10_Maintenance Agreement.txt,Maintenance Agreement,dev
BravatekSolutionsInc_20170418_8-K_EX-10.1_10205739_EX-10.1_Reseller Agreement.txt,Reseller Agreement,holdout
"CANOPETROLEUM,INC_12_13_2007-EX-10.1-Sponsorship Agreement.txt",Sponsorship Agreement,dev
"CARDAX,INC_08_19_2014-EX-10.1-COLLABORATION AGREEMENT.txt",Collaboration Agreement,dev
CCAINDUSTRIESINC_04_14_2014-EX-10.1-OUTSOURCING AGREEMENT.txt,Outsourcing Agreement,holdout
CENTRACKINTERNATIONALINC_10_29_1999-EX-10.3-WEB SITE HOSTING AGREEMENT.txt,Other,dev
"CERES,INC_01_25_2012-EX-10.20-Collaboration Agreement.txt",Collaboration Agreement,dev
CHANGEPOINTCORP_03_08_2000-EX-10.6-LICENSE AND HOSTING AGREEMENT.txt,License And Hosting Agreement,holdout
CHAPARRALRESOURCESINC_03_30_2000-EX-10.66-TRANSPORTATION CONTRACT.txt,Transportation Contract,holdout
CHEETAHMOBILEINC_04_22_2014-EX-10.43-Cooperation Agreement.txt,Cooperation Agreement,dev
CHERRYHILLMORTGAGEINVESTMENTCORP_09_26_2013-EX-10.1-Strategic Alliance Agreement.txt,Strategic Alliance Agreement,dev
CHINARECYCLINGENERGYCORP_11_14_2013-EX-10.6-Cooperation Agreement.txt,Cooperation Agreement,holdout
CHIPMOSTECHNOLOGIESBERMUDALTD_04_18_2016-EX-4.72-Strategic Alliance Agreement.txt,Strategic Alliance Agreement,holdout
"COOLTECHNOLOGIES,INC_10_25_2017-EX-10.71-Strategic Alliance Agreement.txt",Strategic Alliance Agreement,dev
"CORALGOLDRESOURCES,LTD_05_28_2020-EX-4.1-CONSULTING AGREEMENT.txt",Consulting Agreement,dev
CORIOINC_07_20_2000-EX-10.5-LICENSE AND HOSTING AGREEMENT.txt,License And Hosting Agreement,dev
"CURAEGISTECHNOLOGIES,INC_05_26_2010-EX-1-CORPORATE SPONSORSHIP AGREEMENT.txt",Other,dev
CUROGROUPHOLDINGSCORP_05_04_2020-EX-10.3-SERVICING AGREEMENT.txt,Servicing Agreement,dev
CYBERIANOUTPOSTINC_07_09_1998-EX-10.13-PROMOTION AGREEMENT.txt,Promotion Agreement,dev
CardlyticsInc_20180112_S-1_EX-10.16_11002987_EX-10.16_Maintenance Agreement1.txt,Maintenance Agreement1,dev
CardlyticsInc_20180112_S-1_EX-10.16_11002987_EX-10.16_Maintenance Agreement2.txt,Maintenance Agreement2,dev
CardlyticsInc_20180112_S-1_EX-10.16_11002987_EX-10.16_Maintenance Agreement3.txt,Other,dev
CardlyticsInc_20180112_S-1_EX-10.16_11002987_EX-10.16_Maintenance Agreement4.txt,Other,dev
CcRealEstateIncomeFundadv_20181205_POS 8C_EX-99.(H)(3)_11447739_EX-99.(H)(3)_Marketing Agreement.txt,Marketing Agreement,dev
CerenceInc_20191002_8-K_EX-10.4_11827494_EX-10.4_Intellectual Property Agreement.txt,Intellectual Property Agreement,dev
Cerus Corporation - FIRST AMEND TO SUPPLY AND MANUFACTURING AGREEMENT.txt,Other,dev
ChinaRealEstateInformationCorp_20090929_F-1_EX-10.32_4771615_EX-10.32_Content License Agreement.txt,Content License Agreement,holdout
ClickstreamCorp_20200330_1-A_EX1A-6 MAT CTRCT_12089935_EX1A-6 MAT CTRCT_Development Agreement.txt,Development Agreement,dev
CnsPharmaceuticalsInc_20200326_8-K_EX-10.1_12079626_EX-10.1_Development Agreement.txt,Development Agreement,dev
CoherusBiosciencesInc_20200227_10-K_EX-10.29_12021376_EX-10.29_Development Agreement.txt,Development Agreement,holdout
"Columbia Laboratories, (Bermuda) Ltd. - AMEND NO. 2 TO MANUFACTURING AND SUPPLY AGREEMENT.txt",Other,dev
ConformisInc_20191101_10-Q_EX-10.6_11861402_EX-10.6_Development Agreement.txt,Development Agreement,dev
CreditcardscomInc_20070810_S-1_EX-10.33_362297_EX-10.33_Affiliate Agreement.txt,Affiliate Agreement,dev
CybergyHoldingsInc_20140520_10-Q_EX-10.27_8605784_EX-10.27_Affiliate Agreement.txt,Affiliate Agreement,holdout
CytodynInc_20200109_10-Q_EX-10.5_11941634_EX-10.5_License Agreement.txt,License Agreement,dev
DIVERSINETCORP_03_01_2012-EX-4-RESELLER AGREEMENT.txt,Reseller Agreement,dev
DOMINIADVISORTRUST_02_18_2005-EX-99.(H)(2)-SPONSORSHIP AGREEMENT.txt,Sponsorship Agreement,dev
DRAGONSYSTEMSINC_01_08_1999-EX-10.17-OUTSOURCING AGREEMENT.txt,Outsourcing Agreement,holdout
"DRIVENDELIVERIES,INC_05_22_2020-EX-10.4-CONSULTING AGREEMENT.txt",Consulting Agreement,dev
DRKOOPCOMINC_04_21_1999-EX-10.28-SPONSORSHIP AGREEMENT.txt,Sponsorship Agreement,dev
"DUOSTECHNOLOGIESGROUP,INC_04_21_2009-EX-10.1-STRATEGIC ALLIANCE AGREEMENT.txt",Strategic Alliance Agreement,dev
DYNAMEXINC_06_06_1996-EX-10.4-TRANSPORTATION SERVICES AGREEMENT.txt,Transportation Services Agreement,holdout
DYNTEKINC_07_30_1999-EX-10-ONLINE HOSTING AGREEMENT.txt,Other,dev
DataCallTechnologies_20060918_SB-2A_EX-10.9_944510_EX-10.9_Content License Agreement.txt,Content License Agreement,dev
DeltathreeInc_19991102_S-1A_EX-10.19_6227850_EX-10.19_Co-Branding Agreement_ Service Agreement.txt,Service Agreement,dev
DigitalCinemaDestinationsCorp_20111220_S-1_EX-10.10_7346719_EX-10.10_Affiliate Agreement.txt,Affiliate Agreement,dev
DovaPharmaceuticalsInc_20181108_10-Q_EX-10.2_11414857_EX-10.2_Promotion Agreement.txt,Promotion Agreement,holdout
ELANDIAINTERNATIONALINC_04_25_2007-EX-10.21-Outsourcing Agreement.txt,Outsourcing Agreement,dev
ELECTRAMECCANICA VEHICLES CORP. - Manufacturing Agreement.txt,Manufacturing Agreement,dev
"ELFBEAUTY,INC_07_02_2020-EX-10.1-COOPERATION AGREEMENT.txt",Cooperation Agreement,dev
EMERALDHEALTHTHERAPEUTICSINC_06_10_2020-EX-4.5-CONSULTING AGREEMENT - DR. GAETANO MORELLO N.D. INC..txt,Other,dev
ENERGOUSCORP_03_16_2017-EX-10.24-STRATEGIC ALLIANCE AGREEMENT.txt,Strategic Alliance Agreement,holdout
ENERGYXXILTD_05_08_2015-EX-10.13-Transportation AGREEMENT.txt,Transportation Agreement,holdout
ENTERPRISEPRODUCTSPARTNERSLP_07_08_1998-EX-10.3-TRANSPORTATION CONTRACT.txt,Transportation Contract,dev
ENTERTAINMENTGAMINGASIAINC_02_15_2005-EX-10.5-DISTRIBUTOR AGREEMENT.txt,Distributor Agreement,holdout
ENTRUSTINC_07_24_1998-EX-10.5-STRATEGIC ALLIANCE AGREEMENT.txt,Strategic Alliance Agreement,dev
"ETELOS,INC_03_09_2004-EX-10.8-DISTRIBUTOR AGREEMENT.txt",Distributor Agreement,dev
EUROPEANMICROHOLDINGSINC_03_06_1998-EX-10.6-DISTRIBUTOR AGREEMENT.txt,Distributor Agreement,dev
EbixInc_20010515_10-Q_EX-10.3_4049767_EX-10.3_Co-Branding Agreement.txt,Co-Branding Agreement,holdout
EcoScienceSolutionsInc_20171117_8-K_EX-10.1_10956472_EX-10.1_Endorsement Agreement.txt,Endorsement Agreement,holdout
EcoScienceSolutionsInc_20180406_8-K_EX-10.1_11135398_EX-10.1_Sponsorship Agreement.txt,Sponsorship Agreement,dev
EdietsComInc_20001030_10QSB_EX-10.4_2606646_EX-10.4_Co-Branding Agreement.txt,Co-Branding Agreement,dev
EhaveInc_20190515_20-F_EX-4.44_11678816_EX-4.44_License Agreement_ Reseller Agreement.txt,Reseller Agreement,dev
ElPolloLocoHoldingsInc_20200306_10-K_EX-10.16_12041700_EX-10.16_Development Agreement.txt,Development Agreement,dev
EmbarkComInc_19991008_S-1A_EX-10.10_6487661_EX-10.10_Co-Branding Agreement.txt,Co-Branding Agreement,holdout
EmeraldHealthBioceuticalsInc_20200218_1-A_EX1A-6 MAT CTRCT_11987205_EX1A-6 MAT CTRCT_Development Agreement.txt,Development Agreement,dev
EmmisCommunicationsCorp_20191125_8-K_EX-10.6_11906433_EX-10.6_Marketing Agreement.txt,Marketing Agreement,dev
EtonPharmaceuticalsInc_20191114_10-Q_EX-10.1_11893941_EX-10.1_Development Agreement.txt,Development Agreement,holdout
EuromediaHoldingsCorp_20070215_10SB12G_EX-10.B(01)_525118_EX-10.B(01)_Content License Agreement.txt,Content License Agreement,dev
ExactSciencesCorp_20180822_8-K_EX-10.1_11331629_EX-10.1_Promotion Agreement.txt,Promotion Agreement,dev
FEDERATEDGOVERNMENTINCOMESECURITIESINC_04_28_2020-EX-99.SERV AGREE-SERVICES AGREEMENT.txt,Services Agreement,dev
FEDERATEDGOVERNMENTINCOMESECURITIESINC_04_28_2020-EX-99.SERV AGREE-SERVICES AGREEMENT_AMENDMENT.txt,Amendment,dev
FEDERATEDGOVERNMENTINCOMESECURITIESINC_04_28_2020-EX-99.SERV AGREE-SERVICES AGREEMENT_POWEROF.txt,Other,dev
FEDERATEDGOVERNMENTINCOMESECURITIESINC_04_28_2020-EX-99.SERV AGREE-SERVICES AGREEMENT_SECONDAMENDMENT.txt,Other,holdout
FIBROGENINC_10_01_2014-EX-10.11-COLLABORATION AGREEMENT.txt,Collaboration Agreement,holdout
"FIDELITYNATIONALINFORMATIONSERVICES,INC_08_05_2009-EX-10.3-INTELLECTUAL PROPERTY AGREEMENT.txt",Intellectual Property Agreement,dev
FLOTEKINDUSTRIESINCCN_05_09_2019-EX-10.1-SUPPLY AGREEMENT.txt,Supply Agreement,holdout
"FOUNDATIONMEDICINE,INC_02_02_2015-EX-10.2-Collaboration Agreement.txt",Collaboration Agreement,dev
"FTENETWORKS,INC_02_18_2016-EX-99.4-STRATEGIC ALLIANCE AGREEMENT.txt",Strategic Alliance Agreement,dev
FUSIONPHARMACEUTICALSINC_06_05_2020-EX-10.17-Supply Agreement - FUSION.txt,Other,holdout
FerroglobePlc_20150624_F-4A_EX-10.20_9154746_EX-10.20_Outsourcing Agreement.txt,Outsourcing Agreement,dev
Freecook_20180605_S-1_EX-10.3_11233807_EX-10.3_Hosting Agreement.txt,Hosting Agreement,dev
FreezeTagInc_20180411_8-K_EX-10.1_11139603_EX-10.1_Sponsorship Agreement.txt,Sponsorship Agreement,holdout
FuelcellEnergyInc_20191106_8-K_EX-10.1_11868007_EX-10.1_Development Agreement.txt,Development Agreement,holdout
FulucaiProductionsLtd_20131223_10-Q_EX-10.9_8368347_EX-10.9_Content License Agreement.txt,Content License Agreement,holdout
FuseMedicalInc_20190321_10-K_EX-10.43_11575454_EX-10.43_Distributor Agreement.txt,Distributor Agreement,dev
GAINSCOINC_01_21_2010-EX-10.41-SPONSORSHIP AGREEMENT.txt,Sponsorship Agreement,dev
GALACTICOMMTECHNOLOGIESINC_11_07_1997-EX-10.46-WEB HOSTING AGREEMENT.txt,Other,holdout
"GALERATHERAPEUTICS,INC_02_14_2020-EX-99.A-JOINT FILING AGREEMENT.txt",Joint Filing Agreement,dev
"GIGGLESN_HUGS,INC_06_23_2016-EX-10.2-STRATEGIC ALLIANCE AGREEMENT.txt",Strategic Alliance Agreement,dev
GLOBALTECHNOLOGIESLTD_06_08_2020-EX-10.16-CONSULTING AGREEMENT.txt,Consulting Agreement,dev
GOCALLINC_03_30_2000-EX-10.7-Promotion Agreement.txt,Promotion Agreement,dev
GOLDRESOURCECORP_12_11_2008-EX-10.1-STRATEGIC ALLIANCE AGREEMENT.txt,Strategic Alliance Agreement,dev
"GOOSEHEADINSURANCE,INC_04_02_2018-EX-10.6-Franchise Agreement.txt",Franchise Agreement,holdout
GRANTIERRAENERGYINC_05_07_2012-EX-10.6-TRANSPORTATION CONTRACT.txt,Transportation Contract,dev
"GRIDIRONBIONUTRIENTS,INC_02_05_2020-EX-10.3-SUPPLY AGREEMENT.txt",Supply Agreement,dev
"GSITECHNOLOGYINC_11_16_2009-EX-10.2-INTELLECTUAL PROPERTY AGREEMENT between SONY ELECTRONICS INC. and GSI TECHNOLOGY, INC..txt",Other,dev
GSVINC_05_15_1998-EX-10-SPONSORSHIP AGREEMENT.txt,Sponsorship Agreement,holdout
GULFSOUTHMEDICALSUPPLYINC_12_24_1997-EX-4-AFFILIATE AGREEMENT.txt,Affiliate Agreement,dev
"GWG HOLDINGS, INC. - ORDERLY MARKETING AGREEMENT.txt",Other,holdout
GarrettMotionInc_20181001_8-K_EX-2.4_11364532_EX-2.4_Intellectual Property Agreement.txt,Intellectual Property Agreement,dev
GentechHoldingsInc_20190808_1-A_EX1A-6 MAT CTRCT_11776814_EX1A-6 MAT CTRCT_Distributor Agreement.txt,Distributor Agreement,holdout
GlobalTechnologiesGroupInc_20050928_10KSB_EX-10.9_4148808_EX-10.9_Content License Agreement.txt,Content License Agreement,dev
GluMobileInc_20070319_S-1A_EX-10.09_436630_EX-10.09_Content License Agreement1.txt,Content License Agreement1,dev
GluMobileInc_20070319_S-1A_EX-10.09_436630_EX-10.09_Content License Agreement2.txt,Content License Agreement2,holdout
GluMobileInc_20070319_S-1A_EX-10.09_436630_EX-10.09_Content License Agreement3.txt,Other,holdout
GluMobileInc_20070319_S-1A_EX-10.09_436630_EX-10.09_Content License Agreement4.txt,Other,dev
GopageCorp_20140221_10-K_EX-10.1_8432966_EX-10.1_Content License Agreement.txt,Content License Agreement,dev
GpaqAcquisitionHoldingsInc_20200123_S-4A_EX-10.6_11951677_EX-10.6_License Agreement.txt,License Agreement,dev
GpaqAcquisitionHoldingsInc_20200123_S-4A_EX-10.8_11951679_EX-10.8_Service Agreement.txt,Service Agreement,holdout
GridironBionutrientsInc_20171206_8-K_EX-10.1_10972555_EX-10.1_Endorsement Agreement.txt,Endorsement Agreement,dev
GridironBionutrientsInc_20171206_8-K_EX-10.2_10972556_EX-10.2_Endorsement Agreement.txt,Endorsement Agreement,holdout
"HALITRON,INC_03_01_2005-EX-10.15-SPONSORSHIP AND DEVELOPMENT AGREEMENT.txt",Other,holdout
"HC2HOLDINGS,INC_05_14_2020-EX-10.1-COOPERATION AGREEMENT.txt",Cooperation Agreement,holdout
HEALTHGATEDATACORP_11_24_1999-EX-10.1-HOSTING AND MANAGEMENT AGREEMENT (1).txt,Other,holdout
HEALTHGATEDATACORP_11_24_1999-EX-10.1-HOSTING AND MANAGEMENT AGREEMENT - Escrow Agreement.txt,Other,holdout
"HEMISPHERX - Sales, Marketing, Distribution, and Supply Agreement.txt",Other,dev
"HERTZGLOBALHOLDINGS,INC_07_07_2016-EX-10.4-INTELLECTUAL PROPERTY AGREEMENT.txt",Intellectual Property Agreement,dev
HOLIDAYRVSUPERSTORESINC_04_15_2002-EX-10.13-ENDORSEMENT AGREEMENT.txt,Endorsement Agreement,dev
"HOSPITALITYINVESTORSTRUST,INC_04_07_2014-EX-10.26-FRANCHISE AGREEMENT.txt",Franchise Agreement,dev
HPILHOLDING_01_07_2015-EX-99.1-COOPERATION AGREEMENT.txt,Cooperation Agreement,dev
HUBEIMINKANGPHARMACEUTICALLTD_09_19_2006-EX-10.1-OUTSOURCING AGREEMENT.txt,Outsourcing Agreement,dev
HYDRONTECHNOLOGIESINC_03_31_1997-EX-10.47-SPONSORSHIP AGREEMENT.txt,Sponsorship Agreement,dev
HYPERIONSOFTWARECORP_09_28_1994-EX-10.47-EXCLUSIVE DISTRIBUTOR AGREEMENT.txt,Other,dev
HarpoonTherapeuticsInc_20200312_10-K_EX-10.18_12051356_EX-10.18_Development Agreement.txt,Development Agreement,holdout
HealthcareIntegratedTechnologiesInc_20190812_8-K_EX-10.1_11776966_EX-10.1_Reseller Agreement.txt,Reseller Agreement,dev
HealthcentralCom_19991108_S-1A_EX-10.27_6623292_EX-10.27_Co-Branding Agreement.txt,Co-Branding Agreement,holdout
HerImports_20161018_8-KA_EX-10.14_9765707_EX-10.14_Maintenance Agreement.txt,Maintenance Agreement,holdout
HertzGroupRealtyTrustInc_20190920_S-11A_EX-10.8_11816941_EX-10.8_Trademark License Agreement.txt,Trademark License Agreement,holdout
HfEnterprisesInc_20191223_S-1_EX-10.22_11931299_EX-10.22_Development Agreement.txt,Development Agreement,dev
ICORECONNECTINC_10_13_2010-EX-7.1-Strategic Alliance Agreement.txt,Strategic Alliance Agreement,holdout
IDREAMSKYTECHNOLOGYLTD_07_03_2014-EX-10.39-Cooperation Agreement on Mobile Game Business.txt,Other,dev
IGENEBIOTECHNOLOGYINC_05_13_2003-EX-1-JOINT VENTURE AGREEMENT.txt,Joint Venture Agreement,holdout
IMAGEWARESYSTEMSINC_12_20_1999-EX-10.22-MAINTENANCE AGREEMENT.txt,Maintenance Agreement,dev
IMMUNOMEDICSINC_08_07_2019-EX-10.1-PROMOTION AGREEMENT.txt,Promotion Agreement,dev
IMPCOTECHNOLOGIESINC_04_15_2003-EX-10.65-JOINT VENTURE AGREEMENT.txt,Joint Venture Agreement,dev
INGEVITYCORP_05_16_2016-EX-10.5-INTELLECTUAL PROPERTY AGREEMENT.txt,Intellectual Property Agreement,dev
INKTOMICORP_06_08_1998-EX-10.14-SOFTWARE HOSTING AGREEMENT.txt,Other,holdout
"INNOVIVA,INC_08_07_2014-EX-10.1-COLLABORATION AGREEMENT.txt",Collaboration Agreement,dev
"INTELLIGENTHIGHWAYSOLUTIONS,INC_01_18_2018-EX-10.1-Strategic Alliance Agreement.txt",Strategic Alliance Agreement,holdout
INTERNATIONALFASTFOODCORP_04_04_1997-EX-99-FRANCHISE AGREEMENT.txt,Franchise Agreement,dev
"INTERSECTENT,INC_05_11_2020-EX-10.1-SUPPLY AGREEMENT.txt",Supply Agreement,dev
INTRICONCORP_03_10_2009-EX-10.22-Strategic Alliance Agreement.txt,Strategic Alliance Agreement,holdout
"IOVANCEBIOTHERAPEUTICS,INC_08_03_2017-EX-10.1-STRATEGIC ALLIANCE AGREEMENT.txt",Strategic Alliance Agreement,holdout
"IPAYMENT,INC_05_14_2007-EX-10.1-SPONSORSHIP AGREEMENT.txt",Sponsorship Agreement,dev
IVILLAGEINC_03_17_1999-EX-10.16-SPONSORSHIP AGREEMENT.txt,Sponsorship Agreement,dev
IbioInc_20200313_8-K_EX-10.1_12052678_EX-10.1_Development Agreement.txt,Development Agreement,holdout
